num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
3,8,"[8, 16, 32]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,58.39338906505237,0.4200536753030512,0.5548756113858229,0.002959244581663074
3,8,"[8, 16, 32]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,11.493921483830666,4.140632486563949,0.02818953942498223,0.022510108768770253
4,8,"[8, 16, 32, 64]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,64.51612903225806,1.4015581867046583,0.6421377059682948,0.010247569721105895
4,8,"[8, 16, 32, 64]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,60.26712789468627,0.2451686522950528,0.5940318802513841,0.005896824044042725
4,8,"[8, 16, 32, 64]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,45.11075873336216,2.377122392810185,0.417499175872687,0.039972899215522564
4,8,"[8, 16, 32, 64]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,62.327188940092164,1.099008296563303,0.6060407613851294,0.01435835828451643
4,8,"[8, 16, 32, 64]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,52.137984049197655,1.504064118143705,0.4790784732843363,0.01874809324561665
4,8,"[8, 16, 32, 64]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,9.076930469463266,0.10125081690310639,0.015107944454176197,0.00032322660782841203
1,32,[32],relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,67.54992319508449,0.8091899963788639,0.6675875122143565,0.005958073077743887
1,32,[32],relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,62.46756990487172,0.5067280435643383,0.6133220372187733,0.00849767021417794
1,32,[32],relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,51.107587333621645,0.7087557183217456,0.47830464927728156,0.010372701798693137
1,32,[32],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,65.01536098310292,1.384087656754235,0.6432028468941002,0.018858272368574833
1,32,[32],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,56.73104641106947,0.5522411086961099,0.5538190148234359,0.016898585275098278
1,32,[32],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,46.25438470039883,1.5617554304759285,0.4320665471590815,0.015468930461420748
2,32,"[32, 64]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,72.38863287250383,2.62038742077296,0.7182242889908451,0.02654514614471122
2,32,"[32, 64]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,66.96454309599308,1.0758983918432743,0.661596697941169,0.010210031882410106
2,32,"[32, 64]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,53.02484263130076,1.0461223426724875,0.5044119359477139,0.005755972127518845
2,32,"[32, 64]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,68.89400921658986,0.8064516129032242,0.6873922452573982,0.0076513000676139324
2,32,"[32, 64]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,63.06332276352455,1.7563828289474266,0.6241130115036152,0.01962593583366125
2,32,"[32, 64]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,47.527749747729565,1.9380610724735108,0.45415356077067054,0.027273184760327203
3,32,"[32, 64, 128]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,72.6958525345622,1.1110196729254564,0.7235360011885938,0.01298867562313877
3,32,"[32, 64, 128]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,67.75247429614681,0.44782089738564756,0.6687178478719559,0.004004278844082652
3,32,"[32, 64, 128]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,53.20743837393686,1.0286615410068498,0.5090588833365749,0.0019379193259225678
3,32,"[32, 64, 128]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,71.7357910906298,2.702671015347601,0.7108906279405782,0.027211477519835717
3,32,"[32, 64, 128]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,63.3900259440761,0.7456049095634225,0.6198028104789994,0.01482030157837645
3,32,"[32, 64, 128]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,9.245110758733363,0.2990410433424936,0.015656913410429095,0.0009659123754603739
4,32,"[32, 64, 128, 256]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,68.85560675883256,3.0920537224885845,0.6853487218599716,0.028538821617108884
4,32,"[32, 64, 128, 256]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,64.60074949553186,0.9762867813131213,0.6397138859797,0.014232444366573963
4,32,"[32, 64, 128, 256]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,49.20474748930854,1.7773343999063884,0.47247593135049104,0.015944177992459663
4,32,"[32, 64, 128, 256]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,67.20430107526882,0.5683044772253742,0.6664802651818079,0.0019159428730368122
4,32,"[32, 64, 128, 256]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,62.19852022677044,0.2916112406167688,0.6100685504108411,0.003587328209732496
4,32,"[32, 64, 128, 256]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,46.57632982557301,0.8743658748231659,0.4305554052934558,0.011359859000412784
1,64,[64],relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,68.04915514592933,1.242602894574767,0.6706212650996987,0.015757319092893258
1,64,[64],relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,63.98577880272893,0.9430945292449294,0.6318276109867067,0.009278635759447346
1,64,[64],relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.56460525683533,0.9268960896736654,0.4765445369763138,0.013140550180190624
1,64,[64],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,62.48079877112135,0.7842003785200506,0.6185439149347818,0.00485663712172421
1,64,[64],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,56.71182857691938,0.8668819687726741,0.5582592884171637,0.007807102598856608
