problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
brazil58,rank,pmx,scramble,1,0,99.71779221631554,0.4458888888888889,14.543545722961426
brazil58,rank,pmx,scramble,0,1,117.8434074949137,0.3507777777777778,11.729875961939491
brazil58,rank,pmx,scramble,0,0,82.98877731836976,0.4961111111111111,16.60456657409668
brazil58,rank,order,swap,1,1,25.485331758220124,0.5094444444444445,18.18576391537984
brazil58,rank,order,swap,1,0,25.40920128634245,0.4924444444444444,17.586339712142944
brazil58,rank,order,swap,0,1,37.61632867362341,0.3814444444444445,13.974352757136026
brazil58,rank,order,swap,0,0,39.19012929054276,0.4388888888888889,16.056006908416748
brazil58,rank,order,inversion,1,1,4.137297368248343,0.347,12.451128482818604
brazil58,rank,order,inversion,1,0,3.596508499048369,0.3967777777777777,14.19567084312439
brazil58,rank,order,inversion,0,1,5.94211458948612,0.3851111111111111,14.16177487373352
brazil58,rank,order,inversion,0,0,5.1545579838550895,0.3294444444444444,12.124557654062906
brazil58,rank,order,scramble,1,1,42.48999146813677,0.4616666666666666,16.583026091257732
brazil58,rank,order,scramble,1,0,58.32119183566319,0.3799999999999999,13.635536511739096
brazil58,rank,order,scramble,0,1,37.10047909693509,0.6193333333333334,22.80560000737508
brazil58,rank,order,scramble,0,0,48.558115114523865,0.3402222222222222,12.580029726028442
st70,tournament,pmx,swap,1,1,57.62962962962964,0.6742222222222223,27.44661871592204
st70,tournament,pmx,swap,1,0,65.77777777777779,0.485,19.79727514584859
st70,tournament,pmx,swap,0,1,64.0,0.6137777777777779,25.73951816558838
st70,tournament,pmx,swap,0,0,67.1111111111111,0.6025555555555556,25.135537068049118
st70,tournament,pmx,inversion,1,1,13.23456790123457,0.3802222222222222,15.60851033528646
st70,tournament,pmx,inversion,1,0,8.395061728395062,0.527,21.487287203470867
st70,tournament,pmx,inversion,0,1,12.839506172839506,0.4889999999999999,20.54268805185954
st70,tournament,pmx,inversion,0,0,10.666666666666666,0.434,18.152305364608765
st70,tournament,pmx,scramble,1,1,142.6172839506173,0.5152222222222224,21.25322349866231
st70,tournament,pmx,scramble,1,0,187.20987654320984,0.3306666666666666,13.619789679845177
st70,tournament,pmx,scramble,0,1,117.62962962962962,0.3648888888888889,15.470221916834513
st70,tournament,pmx,scramble,0,0,136.2962962962963,0.3628888888888888,15.2622119585673
st70,tournament,order,swap,1,1,50.913580246913575,0.3887777777777778,17.665449778238933
st70,tournament,order,swap,1,0,44.14814814814815,0.4028888888888889,18.30620805422465
st70,tournament,order,swap,0,1,42.17283950617284,0.5102222222222222,23.818434317906696
st70,tournament,order,swap,0,0,37.97530864197531,0.427,19.84423462549845
st70,tournament,order,inversion,1,1,7.506172839506173,0.3913333333333333,17.856568733851116
st70,tournament,order,inversion,1,0,9.382716049382717,0.4045555555555555,18.419692277908325
st70,tournament,order,inversion,0,1,9.4320987654321,0.5075555555555554,23.69019881884257
st70,tournament,order,inversion,0,0,11.901234567901234,0.4805555555555555,22.408442815144856
st70,tournament,order,scramble,1,1,60.14814814814815,0.3511111111111111,16.076338688532513
st70,tournament,order,scramble,1,0,71.45679012345678,0.4108888888888889,18.730281829833984
st70,tournament,order,scramble,0,1,56.197530864197525,0.4432222222222222,20.90882213910421
st70,tournament,order,scramble,0,0,58.41975308641975,0.4341111111111111,20.33881425857544
st70,rank,pmx,swap,1,1,69.67901234567901,0.4042222222222222,16.563061634699505
st70,rank,pmx,swap,1,0,75.70370370370371,0.5978888888888889,24.471589883168537
st70,rank,pmx,swap,0,1,72.5432098765432,0.4314444444444444,18.16536680857341
st70,rank,pmx,swap,0,0,75.50617283950618,0.4577777777777778,19.238213698069256
st70,rank,pmx,inversion,1,1,11.555555555555555,0.45,18.501031398773197
st70,rank,pmx,inversion,1,0,8.543209876543209,0.4356666666666667,17.82867892583211
st70,rank,pmx,inversion,0,1,8.34567901234568,0.4813333333333333,20.17670718828837
st70,rank,pmx,inversion,0,0,8.88888888888889,0.4635555555555555,19.472331126530964
st70,rank,pmx,scramble,1,1,135.30864197530863,0.6356666666666667,26.2684801419576
st70,rank,pmx,scramble,1,0,143.80246913580245,0.439,18.15668471654256
